Municipio,Año,Subtipo de delito,Casos
Irapuato,2025,Homicidio doloso,206.0
Jaral del Progreso,2020,Homicidio culposo,6.0
Jaral del Progreso,2020,Homicidio doloso,30.0
Jaral del Progreso,2021,Homicidio culposo,6.0
Jaral del Progreso,2021,Homicidio doloso,20.0
Jaral del Progreso,2022,Homicidio culposo,10.0
Jaral del Progreso,2022,Homicidio doloso,31.0
Jaral del Progreso,2023,Homicidio culposo,3.0
Jaral del Progreso,2023,Homicidio doloso,33.0
Jaral del Progreso,2024,Homicidio culposo,6.0
Jaral del Progreso,2024,Homicidio doloso,40.0
Jaral del Progreso,2025,Homicidio culposo,7.0
Jaral del Progreso,2025,Homicidio doloso,25.0
Jerécuaro,2020,Homicidio culposo,20.0
Jerécuaro,2020,Homicidio doloso,45.0
Jerécuaro,2021,Homicidio culposo,8.0
Jerécuaro,2021,Homicidio doloso,8.0
Jerécuaro,2022,Homicidio culposo,8.0
Jerécuaro,2022,Homicidio doloso,4.0
Jerécuaro,2023,Homicidio culposo,10.0
Jerécuaro,2023,Homicidio doloso,0.0
Jerécuaro,2024,Homicidio culposo,7.0
Jerécuaro,2024,Homicidio doloso,7.0
Jerécuaro,2025,Homicidio culposo,12.0
Jerécuaro,2025,Homicidio doloso,9.0
León,2020,Homicidio culposo,181.0
León,2020,Homicidio doloso,633.0
León,2021,Homicidio culposo,107.0
León,2021,Homicidio doloso,709.0
León,2022,Homicidio culposo,98.0
León,2022,Homicidio doloso,616.0
León,2023,Homicidio culposo,61.0
León,2023,Homicidio doloso,777.0
León,2024,Homicidio culposo,74.0
León,2024,Homicidio doloso,596.0
León,2025,Homicidio culposo,71.0
León,2025,Homicidio doloso,393.0
Manuel Doblado,2020,Homicidio culposo,10.0
Manuel Doblado,2020,Homicidio doloso,2.0
Manuel Doblado,2021,Homicidio culposo,3.0
Manuel Doblado,2021,Homicidio doloso,2.0
Manuel Doblado,2022,Homicidio culposo,8.0
Manuel Doblado,2022,Homicidio doloso,1.0
Manuel Doblado,2023,Homicidio culposo,8.0
Manuel Doblado,2023,Homicidio doloso,2.0
Manuel Doblado,2024,Homicidio culposo,8.0
Manuel Doblado,2024,Homicidio doloso,1.0
Manuel Doblado,2025,Homicidio culposo,11.0
Manuel Doblado,2025,Homicidio doloso,2.0
Moroleón,2020,Homicidio culposo,6.0
Moroleón,2020,Homicidio doloso,44.0
Moroleón,2021,Homicidio culposo,4.0
Moroleón,2021,Homicidio doloso,31.0
Moroleón,2022,Homicidio culposo,3.0
Moroleón,2022,Homicidio doloso,8.0
Moroleón,2023,Homicidio culposo,6.0
Moroleón,2023,Homicidio doloso,4.0
Moroleón,2024,Homicidio culposo,5.0
Moroleón,2024,Homicidio doloso,9.0
Moroleón,2025,Homicidio culposo,3.0
Moroleón,2025,Homicidio doloso,1.0
Ocampo,2020,Homicidio culposo,6.0
Ocampo,2020,Homicidio doloso,4.0
Ocampo,2021,Homicidio culposo,7.0
Ocampo,2021,Homicidio doloso,0.0
Ocampo,2022,Homicidio culposo,4.0
Ocampo,2022,Homicidio doloso,2.0
Ocampo,2023,Homicidio culposo,8.0
Ocampo,2023,Homicidio doloso,2.0
Ocampo,2024,Homicidio culposo,7.0
Ocampo,2024,Homicidio doloso,3.0
Ocampo,2025,Homicidio culposo,6.0
Ocampo,2025,Homicidio doloso,5.0
Pueblo Nuevo,2020,Homicidio culposo,2.0
Pueblo Nuevo,2020,Homicidio doloso,12.0
Pueblo Nuevo,2021,Homicidio culposo,6.0
Pueblo Nuevo,2021,Homicidio doloso,8.0
Pueblo Nuevo,2022,Homicidio culposo,2.0
Pueblo Nuevo,2022,Homicidio doloso,20.0
Pueblo Nuevo,2023,Homicidio culposo,4.0
Pueblo Nuevo,2023,Homicidio doloso,21.0
Pueblo Nuevo,2024,Homicidio culposo,4.0
Pueblo Nuevo,2024,Homicidio doloso,5.0
Pueblo Nuevo,2025,Homicidio culposo,5.0
Pueblo Nuevo,2025,Homicidio doloso,6.0
Purísima del Rincón,2020,Homicidio culposo,9.0
Purísima del Rincón,2020,Homicidio doloso,23.0
Purísima del Rincón,2021,Homicidio culposo,3.0
Purísima del Rincón,2021,Homicidio doloso,43.0
Purísima del Rincón,2022,Homicidio culposo,12.0
Purísima del Rincón,2022,Homicidio doloso,50.0
Purísima del Rincón,2023,Homicidio culposo,7.0
Purísima del Rincón,2023,Homicidio doloso,54.0
Purísima del Rincón,2024,Homicidio culposo,13.0
Purísima del Rincón,2024,Homicidio doloso,23.0
Purísima del Rincón,2025,Homicidio culposo,6.0
Purísima del Rincón,2025,Homicidio doloso,23.0
Pénjamo,2020,Homicidio culposo,72.0
Pénjamo,2020,Homicidio doloso,80.0
Pénjamo,2021,Homicidio culposo,50.0
Pénjamo,2021,Homicidio doloso,56.0
Pénjamo,2022,Homicidio culposo,46.0
Pénjamo,2022,Homicidio doloso,52.0
Pénjamo,2023,Homicidio culposo,50.0
Pénjamo,2023,Homicidio doloso,73.0
Pénjamo,2024,Homicidio culposo,71.0
Pénjamo,2024,Homicidio doloso,65.0
Pénjamo,2025,Homicidio culposo,53.0
Pénjamo,2025,Homicidio doloso,68.0
Romita,2020,Homicidio culposo,19.0
Romita,2020,Homicidio doloso,14.0
Romita,2021,Homicidio culposo,14.0
Romita,2021,Homicidio doloso,12.0
Romita,2022,Homicidio culposo,11.0
Romita,2022,Homicidio doloso,5.0
Romita,2023,Homicidio culposo,15.0
Romita,2023,Homicidio doloso,1.0
Romita,2024,Homicidio culposo,6.0
Romita,2024,Homicidio doloso,5.0
Romita,2025,Homicidio culposo,7.0
Romita,2025,Homicidio doloso,3.0
Salamanca,2020,Homicidio culposo,146.0
Salamanca,2020,Homicidio doloso,315.0
Salamanca,2021,Homicidio culposo,47.0
Salamanca,2021,Homicidio doloso,153.0
Salamanca,2022,Homicidio culposo,52.0
Salamanca,2022,Homicidio doloso,173.0
Salamanca,2023,Homicidio culposo,63.0
Salamanca,2023,Homicidio doloso,190.0
Salamanca,2024,Homicidio culposo,84.0
Salamanca,2024,Homicidio doloso,148.0
Salamanca,2025,Homicidio culposo,82.0
Salamanca,2025,Homicidio doloso,183.0
Salvatierra,2020,Homicidio culposo,29.0
Salvatierra,2020,Homicidio doloso,109.0
Salvatierra,2021,Homicidio culposo,18.0
Salvatierra,2021,Homicidio doloso,68.0
Salvatierra,2022,Homicidio culposo,14.0
Salvatierra,2022,Homicidio doloso,129.0
Salvatierra,2023,Homicidio culposo,20.0
Salvatierra,2023,Homicidio doloso,111.0
Salvatierra,2024,Homicidio culposo,9.0
Salvatierra,2024,Homicidio doloso,151.0
Salvatierra,2025,Homicidio culposo,24.0
Salvatierra,2025,Homicidio doloso,64.0
San Diego de la Unión,2020,Homicidio culposo,14.0
San Diego de la Unión,2020,Homicidio doloso,8.0
San Diego de la Unión,2021,Homicidio culposo,3.0
San Diego de la Unión,2021,Homicidio doloso,3.0
San Diego de la Unión,2022,Homicidio culposo,15.0
San Diego de la Unión,2022,Homicidio doloso,4.0
San Diego de la Unión,2023,Homicidio culposo,13.0
San Diego de la Unión,2023,Homicidio doloso,1.0
San Diego de la Unión,2024,Homicidio culposo,17.0
San Diego de la Unión,2024,Homicidio doloso,2.0
San Diego de la Unión,2025,Homicidio culposo,7.0
San Diego de la Unión,2025,Homicidio doloso,3.0
San Felipe,2020,Homicidio culposo,25.0
San Felipe,2020,Homicidio doloso,18.0
San Felipe,2021,Homicidio culposo,27.0
San Felipe,2021,Homicidio doloso,8.0
San Felipe,2022,Homicidio culposo,24.0
San Felipe,2022,Homicidio doloso,6.0
